old_path,type,title,new_path,status,note
/,page,דף הבית,/home.html,mapped,
/db/,page,מאגר המשאבים למורי ולדורף,/school-list.html,review,עמוד מאגר ישן. לבדוק מה הוא מכיל לפני שמפנים אותו
/forum/,page,הפורום הארצי לחינוך ולדורף,/forum.html,mapped,
/forum/groups/,page,קבוצות עבודה,/forum-workgroups.html,mapped,
/forum/groups/w-admin/,page,מנהלניות,/forum-workgroups.html,mapped-section,קבוצת עבודה באתר הישן; אין עמוד נפרד לכל קבוצה באתר החדש
/forum/groups/w-art/,page,מורי אומנות/ציור,/forum-workgroups.html,mapped-section,קבוצת עבודה באתר הישן; אין עמוד נפרד לכל קבוצה באתר החדש
/forum/groups/w-class1-2/,page,מורי א-ב,/forum-workgroups.html,mapped-section,קבוצת עבודה באתר הישן; אין עמוד נפרד לכל קבוצה באתר החדש
/forum/groups/w-class3-4/,page,מורי ג-ד,/forum-workgroups.html,mapped-section,קבוצת עבודה באתר הישן; אין עמוד נפרד לכל קבוצה באתר החדש
/forum/groups/w-class5-6/,page,מורי ה-ו,/forum-workgroups.html,mapped-section,קבוצת עבודה באתר הישן; אין עמוד נפרד לכל קבוצה באתר החדש
/forum/groups/w-class7-8/,page,מורי ז-ח,/forum-workgroups.html,mapped-section,קבוצת עבודה באתר הישן; אין עמוד נפרד לכל קבוצה באתר החדש
/forum/groups/w-counselor/,page,מורי יעוץ חינוכי,/forum-workgroups.html,mapped-section,קבוצת עבודה באתר הישן; אין עמוד נפרד לכל קבוצה באתר החדש
/forum/groups/w-crafts/,page,מורי מלאכות ועבודה בעץ,/forum-workgroups.html,mapped-section,קבוצת עבודה באתר הישן; אין עמוד נפרד לכל קבוצה באתר החדש
/forum/groups/w-english/,page,מורי אנגלית,/forum-workgroups.html,mapped-section,קבוצת עבודה באתר הישן; אין עמוד נפרד לכל קבוצה באתר החדש
/forum/groups/w-eurythmy/,page,מורי אוריתמיה,/forum-workgroups.html,mapped-section,קבוצת עבודה באתר הישן; אין עמוד נפרד לכל קבוצה באתר החדש
/forum/groups/w-math/,page,מורי מתמטיקה,/forum-workgroups.html,mapped-section,קבוצת עבודה באתר הישן; אין עמוד נפרד לכל קבוצה באתר החדש
/forum/groups/w-music/,page,מורי מוזיקה,/forum-workgroups.html,mapped-section,קבוצת עבודה באתר הישן; אין עמוד נפרד לכל קבוצה באתר החדש
/forum/groups/w-sport/,page,חנ&quot;ג ובוטמר,/forum-workgroups.html,mapped-section,קבוצת עבודה באתר הישן; אין עמוד נפרד לכל קבוצה באתר החדש
/forum/groups/w-support/,page,מורי הוראה תומכת / תרפיות,/forum-workgroups.html,mapped-section,קבוצת עבודה באתר הישן; אין עמוד נפרד לכל קבוצה באתר החדש
